Region,Broad_Period,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,Population_Label
Carribean,Historical/Modern,0.02995897659574468,-0.0010082711170212766,-0.0010391855851063828,0.0012158049361702128,-0.0021068511914893616,-0.0008540763021276596,0.0006482363124468085,-1.7146245936170217e-05,0.011319707765957445,-0.00021780961276595743,0.0006260796308510639,-0.0021149459382978726,-0.003392675265957447,0.003846725669148936,0.0009827909010638298,Carribean | Historical/Modern
Middle Eastern,Bronze-Age,-0.0011235062429028775,-0.0036301940776258994,0.0014543673507194245,-0.0029502481338741005,0.007148065053201439,-0.0035561833278093527,-0.0007927513033812949,-0.003960792934057555,-0.0008302176667985611,-0.0038282652663309356,-0.004616457007122302,0.00860472165971223,0.010068632875179855,0.001994010892086331,-0.00016736022086330935,Middle Eastern | Bronze-Age
Middle Eastern,Copper,-0.0011399168390625,-0.003593947265625,0.00147679835265625,-0.00068326708140625,0.007886909328125,-0.002196007940625,-0.00108988748640625,-0.0028038274609375,-0.000731060325,-0.00314433381875,-0.0046722557,0.0050411612915625004,0.0068945288593750004,0.0010463190696875,-0.00051299731453125,Middle Eastern | Copper
Middle Eastern,Historical/Modern,-0.0012255704022222222,-0.005745092204526748,0.002341289861728395,-0.0025970222475349795,0.011774734315226338,-0.0041184761512345685,0.0006628137981481481,-0.002698438732016461,0.0003330171948106996,0.002363340025473251,0.008228037456049383,0.011618558613580247,0.014016211717283952,-0.0013491939141152263,-0.0019069748304938272,Middle Eastern | Historical/Modern
Middle Eastern,Iron-Age,-0.001549954,-0.00419283364,0.001017031134,-0.003714992406,0.0052362482600000005,-0.004244277642,-0.0006854130826,-0.005757925200000001,-0.000542103304,-0.0053221836,-0.00214565522,0.007839298294,0.00865489022,0.003324955386,0.00016067652000000001,Middle Eastern | Iron-Age
Middle Eastern,Mesolithic,-0.0007679080778333333,-0.0021015958333333333,0.0007112603333333333,-0.0061651805,0.002072969,-0.0049525617,0.0008169268166666668,-0.004898116666666666,-0.0003560558833333334,-0.0022992003500000003,0.0022088891666666665,0.009420178166666668,0.0088584015,0.006982945666666666,0.0015044235,Middle Eastern | Mesolithic
Middle Eastern,Neolithic,-0.0011039407304210527,-0.0036528424937894736,0.001495708857894737,0.0023315046673684212,0.008352605917894737,-3.938725989473683e-05,-0.0008855434043263157,-0.0007168061415789473,-0.0007025696635473685,-0.00011492963700000001,-0.004191304578947368,0.0017504555947368422,0.0012314474410526316,-0.0031971107410526316,-0.002288102209863158,Middle Eastern | Neolithic
Middle Eastern,Other,-0.0006260491082857143,-0.004375759623809524,0.001635434513047619,-0.0024674049999047617,0.008362860284761905,-0.0034774011493333336,-4.322169285714287e-05,-0.0029471296668571426,-0.00014782228171428572,-0.0009755990285714286,0.002490060464761905,0.008440653545714286,0.010568906275238096,0.00014949149280000002,-0.0007476938009523809,Middle Eastern | Other
Native American,Bronze-Age,-0.001508764264285714,0.006953940761904763,-0.013292550666666667,0.0007866026666666666,0.0029752577454761906,0.0015860654404761905,0.004180316071428571,0.00040884969285714294,-0.0002715909,-0.001091064880952381,-0.0012199894214285714,-0.0037260207357142855,0.005033604947619048,0.0017167530690476189,0.0007418375880952381,Native American | Bronze-Age
Native American,Copper,-0.00169522,0.00863228,-0.018941933333333334,0.00011527566666666668,0.0030723766666666667,0.0014759216666666668,0.003875756666666667,-0.0018469866666666666,-0.000618277,0.004551126666666666,-0.00357668,0.0145713,-0.0121515,-0.0029770866666666666,-0.001543973333333333,Native American | Copper
Native American,Historical/Modern,-0.0017384186531150562,0.007110877620074157,-0.01523304052095955,0.0001116988355033708,0.0028729397612292135,0.0015385482921238202,0.0010812330851460673,0.0015713002199417977,8.274652539325844e-05,-0.0012873843004764045,0.0005140009111910112,-0.0025275224412202248,0.0026446573774292132,0.0007509497308143821,0.000218993479752809,Native American | Historical/Modern
